year,economicActivity,employment,hours_worked
2013,Machinery manufacturing,140785,5.534
2014,Machinery manufacturing,138670,5.438
2015,Machinery manufacturing,139135,5.452
2016,Machinery manufacturing,135530,5.359
2017,Machinery manufacturing,139250,5.416
2018,Machinery manufacturing,141250,5.466
2019,Machinery manufacturing,147465,5.367
1997,Computer and electronic product manufacturing,113615,5.545
1998,Computer and electronic product manufacturing,113895,5.526
1999,Computer and electronic product manufacturing,126370,5.518
2000,Computer and electronic product manufacturing,131765,5.425
2001,Computer and electronic product manufacturing,99945,5.367
2002,Computer and electronic product manufacturing,89825,5.397
2003,Computer and electronic product manufacturing,97105,5.362
2004,Computer and electronic product manufacturing,101325,5.4
2005,Computer and electronic product manufacturing,98045,5.493
2006,Computer and electronic product manufacturing,96185,5.411
2007,Computer and electronic product manufacturing,88065,5.364
2008,Computer and electronic product manufacturing,79960,5.43
2009,Computer and electronic product manufacturing,72960,5.381
2010,Computer and electronic product manufacturing,70380,5.422
2011,Computer and electronic product manufacturing,68390,5.37
2012,Computer and electronic product manufacturing,62995,5.373
2013,Computer and electronic product manufacturing,58175,5.29
2014,Computer and electronic product manufacturing,53130,5.285
2015,Computer and electronic product manufacturing,52455,5.323
2016,Computer and electronic product manufacturing,53130,5.304
2017,Computer and electronic product manufacturing,53675,5.285
2018,Computer and electronic product manufacturing,54635,5.301
2019,Computer and electronic product manufacturing,57785,5.282
1997,"Electrical equipment, appliance and component manufacturing",48600,5.482
1998,"Electrical equipment, appliance and component manufacturing",48895,5.477
1999,"Electrical equipment, appliance and component manufacturing",50565,5.499
2000,"Electrical equipment, appliance and component manufacturing",52860,5.477
2001,"Electrical equipment, appliance and component manufacturing",52775,5.411
2002,"Electrical equipment, appliance and component manufacturing",46585,5.458
2003,"Electrical equipment, appliance and component manufacturing",41090,5.321
2004,"Electrical equipment, appliance and component manufacturing",43615,5.449
2005,"Electrical equipment, appliance and component manufacturing",43795,5.323
2006,"Electrical equipment, appliance and component manufacturing",41560,5.315
2007,"Electrical equipment, appliance and component manufacturing",41910,5.334
2008,"Electrical equipment, appliance and component manufacturing",40870,5.326
2009,"Electrical equipment, appliance and component manufacturing",37945,5.288
2010,"Electrical equipment, appliance and component manufacturing",35765,5.364
2011,"Electrical equipment, appliance and component manufacturing",38040,5.332
2012,"Electrical equipment, appliance and component manufacturing",35295,5.414
2013,"Electrical equipment, appliance and component manufacturing",36140,5.233
2014,"Electrical equipment, appliance and component manufacturing",31595,5.323
2015,"Electrical equipment, appliance and component manufacturing",33785,5.29
2016,"Electrical equipment, appliance and component manufacturing",33720,5.321
2017,"Electrical equipment, appliance and component manufacturing",34080,5.263
2018,"Electrical equipment, appliance and component manufacturing",33775,5.34
2019,"Electrical equipment, appliance and component manufacturing",36400,5.356
1997,Transportation equipment manufacturing,252015,5.584
1998,Transportation equipment manufacturing,256340,5.521
1999,Transportation equipment manufacturing,274395,5.518
2000,Transportation equipment manufacturing,262970,5.403
2001,Transportation equipment manufacturing,252705,5.43
2002,Transportation equipment manufacturing,244775,5.477
2003,Transportation equipment manufacturing,249685,5.416
2004,Transportation equipment manufacturing,246570,5.408
2005,Transportation equipment manufacturing,247405,5.342
2006,Transportation equipment manufacturing,232645,5.321
2007,Transportation equipment manufacturing,227000,5.452
2008,Transportation equipment manufacturing,197500,5.364
2009,Transportation equipment manufacturing,169955,5.241
2010,Transportation equipment manufacturing,176225,5.389
2011,Transportation equipment manufacturing,177805,5.403
2012,Transportation equipment manufacturing,193700,5.441
2013,Transportation equipment manufacturing,195015,5.427
2014,Transportation equipment manufacturing,203380,5.427
2015,Transportation equipment manufacturing,206325,5.414
2016,Transportation equipment manufacturing,206855,5.419
2017,Transportation equipment manufacturing,212685,5.348
2018,Transportation equipment manufacturing,214270,5.436
2019,Transportation equipment manufacturing,228965,5.318
1997,Furniture and related product manufacturing,85785,5.567
1998,Furniture and related product manufacturing,93190,5.578
1999,Furniture and related product manufacturing,98530,5.51
2000,Furniture and related product manufacturing,109735,5.389
2001,Furniture and related product manufacturing,115355,5.359
2002,Furniture and related product manufacturing,118380,5.312
2003,Furniture and related product manufacturing,115235,5.255
2004,Furniture and related product manufacturing,115160,5.268
2005,Furniture and related product manufacturing,109425,5.323
2006,Furniture and related product manufacturing,102895,5.392
2007,Furniture and related product manufacturing,103965,5.282
2008,Furniture and related product manufacturing,94695,5.299
2009,Furniture and related product manufacturing,81340,5.173
2010,Furniture and related product manufacturing,78560,5.214
2011,Furniture and related product manufacturing,76435,5.197
2012,Furniture and related product manufacturing,72430,5.249
2013,Furniture and related product manufacturing,72770,5.301
2014,Furniture and related product manufacturing,71995,5.227
2015,Furniture and related product manufacturing,77825,5.205
2016,Furniture and related product manufacturing,77765,5.266
2017,Furniture and related product manufacturing,75465,5.222
2018,Furniture and related product manufacturing,75340,5.252
2019,Furniture and related product manufacturing,76460,5.145
1997,Miscellaneous manufacturing,57655,5.321
1998,Miscellaneous manufacturing,59645,5.318
1999,Miscellaneous manufacturing,59255,5.214
2000,Miscellaneous manufacturing,62465,5.268
2001,Miscellaneous manufacturing,63130,5.255
2002,Miscellaneous manufacturing,67200,5.14
2003,Miscellaneous manufacturing,69400,5.123
2004,Miscellaneous manufacturing,69200,5.112
2005,Miscellaneous manufacturing,67165,5.134
2006,Miscellaneous manufacturing,67030,5.247
2007,Miscellaneous manufacturing,64895,5.189
2008,Miscellaneous manufacturing,63170,5.225
2009,Miscellaneous manufacturing,61920,5.121
2010,Miscellaneous manufacturing,63155,5.203
2011,Miscellaneous manufacturing,63810,5.153
2012,Miscellaneous manufacturing,62725,5.123
2013,Miscellaneous manufacturing,61080,5.17
2014,Miscellaneous manufacturing,59120,5.195
2015,Miscellaneous manufacturing,64585,5.112
2016,Miscellaneous manufacturing,66435,5.181
2017,Miscellaneous manufacturing,66095,5.082
2018,Miscellaneous manufacturing,67050,5.093
2019,Miscellaneous manufacturing,70060,5.052
1997,Farm product wholesaler-distributors,11180,5.219
1998,Farm product wholesaler-distributors,12225,5.219
1999,Farm product wholesaler-distributors,13975,5.162
2000,Farm product wholesaler-distributors,13985,5.071
2001,Farm product wholesaler-distributors,16985,5.34
2002,Farm product wholesaler-distributors,14860,5.279
2003,Farm product wholesaler-distributors,14775,5.408
2004,Farm product wholesaler-distributors,13970,5.09
2005,Farm product wholesaler-distributors,13380,5.285
2006,Farm product wholesaler-distributors,13160,5.129
2007,Farm product wholesaler-distributors,12455,5.052
2008,Farm product wholesaler-distributors,13635,5.192
2009,Farm product wholesaler-distributors,14745,5.096
2010,Farm product wholesaler-distributors,16710,4.981
2011,Farm product wholesaler-distributors,15030,5.189
2012,Farm product wholesaler-distributors,15595,5.038
2013,Farm product wholesaler-distributors,16300,5.058
2014,Farm product wholesaler-distributors,18780,5.008
2015,Farm product wholesaler-distributors,19070,5.088
2016,Farm product wholesaler-distributors,16925,5
2017,Farm product wholesaler-distributors,17705,5.058
2018,Farm product wholesaler-distributors,17970,5.093
2019,Farm product wholesaler-distributors,18065,4.97
1997,Petroleum product wholesaler-distributors,22845,5.751
1998,Petroleum product wholesaler-distributors,20690,5.581
1999,Petroleum product wholesaler-distributors,16635,5.458
2000,Petroleum product wholesaler-distributors,14610,5.559
2001,Petroleum product wholesaler-distributors,15895,5.559
2002,Petroleum product wholesaler-distributors,15680,5.512
2003,Petroleum product wholesaler-distributors,14885,5.567
2004,Petroleum product wholesaler-distributors,15670,5.381
2005,Petroleum product wholesaler-distributors,15850,5.537
2006,Petroleum product wholesaler-distributors,15465,5.321
2007,Petroleum product wholesaler-distributors,24940,5.449
2008,Petroleum product wholesaler-distributors,25890,5.586
2009,Petroleum product wholesaler-distributors,13940,5.416
2010,Petroleum product wholesaler-distributors,13835,5.422
2011,Petroleum product wholesaler-distributors,12445,5.556
2012,Petroleum product wholesaler-distributors,14325,5.603
2013,Petroleum product wholesaler-distributors,15315,5.863
2014,Petroleum product wholesaler-distributors,17330,5.542
2015,Petroleum product wholesaler-distributors,15850,5.422
2016,Petroleum product wholesaler-distributors,13515,5.466
2017,Petroleum product wholesaler-distributors,13060,5.532
2018,Petroleum product wholesaler-distributors,13635,5.685
2019,Petroleum product wholesaler-distributors,13530,5.496
1997,"Food, beverage and tobacco wholesaler-distributors",97775,5.244
1998,"Food, beverage and tobacco wholesaler-distributors",99575,5.318
1999,"Food, beverage and tobacco wholesaler-distributors",100945,5.397
2000,"Food, beverage and tobacco wholesaler-distributors",105940,5.463
2001,"Food, beverage and tobacco wholesaler-distributors",112190,5.414
2002,"Food, beverage and tobacco wholesaler-distributors",118225,5.458
2003,"Food, beverage and tobacco wholesaler-distributors",125430,5.255
2004,"Food, beverage and tobacco wholesaler-distributors",129440,5.419
2005,"Food, beverage and tobacco wholesaler-distributors",133505,5.285
2006,"Food, beverage and tobacco wholesaler-distributors",114405,5.299
2007,"Food, beverage and tobacco wholesaler-distributors",132540,5.238
2008,"Food, beverage and tobacco wholesaler-distributors",136400,5.233
2009,"Food, beverage and tobacco wholesaler-distributors",117740,5.208
2010,"Food, beverage and tobacco wholesaler-distributors",120260,5.29
2011,"Food, beverage and tobacco wholesaler-distributors",123190,5.137
2012,"Food, beverage and tobacco wholesaler-distributors",124385,5.195
2013,"Food, beverage and tobacco wholesaler-distributors",122960,5.337
2014,"Food, beverage and tobacco wholesaler-distributors",128435,5.263
2015,"Food, beverage and tobacco wholesaler-distributors",124605,5.258
2016,"Food, beverage and tobacco wholesaler-distributors",117785,5.208
2017,"Food, beverage and tobacco wholesaler-distributors",122510,5.079
2018,"Food, beverage and tobacco wholesaler-distributors",122475,5.277
2019,"Food, beverage and tobacco wholesaler-distributors",133715,5.162
1997,Personal and household goods wholesaler-distributors,83880,5.162
1998,Personal and household goods wholesaler-distributors,83280,5.134
1999,Personal and household goods wholesaler-distributors,82425,5.299
2000,Personal and household goods wholesaler-distributors,83475,5.384
2001,Personal and household goods wholesaler-distributors,92320,5.192
2002,Personal and household goods wholesaler-distributors,98935,5.197
2003,Personal and household goods wholesaler-distributors,100980,5.195
2004,Personal and household goods wholesaler-distributors,101455,5.296
2005,Personal and household goods wholesaler-distributors,100470,5.342
2006,Personal and household goods wholesaler-distributors,106325,5.241
2007,Personal and household goods wholesaler-distributors,99950,5.23
2008,Personal and household goods wholesaler-distributors,102140,5.296
2009,Personal and household goods wholesaler-distributors,123350,5.121
2010,Personal and household goods wholesaler-distributors,116580,5.123
2011,Personal and household goods wholesaler-distributors,117365,5.134
2012,Personal and household goods wholesaler-distributors,118820,5.167
2013,Personal and household goods wholesaler-distributors,114665,5.189
2014,Personal and household goods wholesaler-distributors,114445,5.055
2015,Personal and household goods wholesaler-distributors,111445,5.027
2016,Personal and household goods wholesaler-distributors,111530,5.112
2017,Personal and household goods wholesaler-distributors,113735,5.036
2018,Personal and household goods wholesaler-distributors,113300,5.148
2019,Personal and household goods wholesaler-distributors,108125,4.967
1997,Motor vehicle and parts wholesaler-distributors,54065,5.523
1998,Motor vehicle and parts wholesaler-distributors,56020,5.466
1999,Motor vehicle and parts wholesaler-distributors,57945,5.551
2000,Motor vehicle and parts wholesaler-distributors,58680,5.499
2001,Motor vehicle and parts wholesaler-distributors,55790,5.408
2002,Motor vehicle and parts wholesaler-distributors,59070,5.425
2003,Motor vehicle and parts wholesaler-distributors,57420,5.386
2004,Motor vehicle and parts wholesaler-distributors,57310,5.37
2005,Motor vehicle and parts wholesaler-distributors,59580,5.367
2006,Motor vehicle and parts wholesaler-distributors,59285,5.326
2007,Motor vehicle and parts wholesaler-distributors,56180,5.397
2008,Motor vehicle and parts wholesaler-distributors,50420,5.321
2009,Motor vehicle and parts wholesaler-distributors,50155,5.422
2010,Motor vehicle and parts wholesaler-distributors,54660,5.367
2011,Motor vehicle and parts wholesaler-distributors,55835,5.296
2012,Motor vehicle and parts wholesaler-distributors,59530,5.296
2013,Motor vehicle and parts wholesaler-distributors,58340,5.444
2014,Motor vehicle and parts wholesaler-distributors,59700,5.326
2015,Motor vehicle and parts wholesaler-distributors,62425,5.252
2016,Motor vehicle and parts wholesaler-distributors,64495,5.263
2017,Motor vehicle and parts wholesaler-distributors,65105,5.134
2018,Motor vehicle and parts wholesaler-distributors,66655,5.208
2019,Motor vehicle and parts wholesaler-distributors,65980,5.181
1997,Building material and supplies wholesaler-distributors,141380,5.403
1998,Building material and supplies wholesaler-distributors,129595,5.332
1999,Building material and supplies wholesaler-distributors,133260,5.373
2000,Building material and supplies wholesaler-distributors,131595,5.501
2001,Building material and supplies wholesaler-distributors,129920,5.466
2002,Building material and supplies wholesaler-distributors,129280,5.521
2003,Building material and supplies wholesaler-distributors,130730,5.512
2004,Building material and supplies wholesaler-distributors,134985,5.436
2005,Building material and supplies wholesaler-distributors,139040,5.471
2006,Building material and supplies wholesaler-distributors,139845,5.386
2007,Building material and supplies wholesaler-distributors,132900,5.408
2008,Building material and supplies wholesaler-distributors,130830,5.515
2009,Building material and supplies wholesaler-distributors,124770,5.411
2010,Building material and supplies wholesaler-distributors,128710,5.359
2011,Building material and supplies wholesaler-distributors,131610,5.381
2012,Building material and supplies wholesaler-distributors,136565,5.436
2013,Building material and supplies wholesaler-distributors,135690,5.359
2014,Building material and supplies wholesaler-distributors,139100,5.359
2015,Building material and supplies wholesaler-distributors,135410,5.392
2016,Building material and supplies wholesaler-distributors,132135,5.4
2017,Building material and supplies wholesaler-distributors,134205,5.329
2018,Building material and supplies wholesaler-distributors,138900,5.332
2019,Building material and supplies wholesaler-distributors,138205,5.381
1997,"Machinery, equipment and supplies wholesaler-distributors",171605,5.701
1998,"Machinery, equipment and supplies wholesaler-distributors",179495,5.581
1999,"Machinery, equipment and supplies wholesaler-distributors",187785,5.534
2000,"Machinery, equipment and supplies wholesaler-distributors",191585,5.581
2001,"Machinery, equipment and supplies wholesaler-distributors",193650,5.564
2002,"Machinery, equipment and supplies wholesaler-distributors",191175,5.496
2003,"Machinery, equipment and supplies wholesaler-distributors",192125,5.455
2004,"Machinery, equipment and supplies wholesaler-distributors",194250,5.564
2005,"Machinery, equipment and supplies wholesaler-distributors",202495,5.488
2006,"Machinery, equipment and supplies wholesaler-distributors",213400,5.452
2007,"Machinery, equipment and supplies wholesaler-distributors",206780,5.501
2008,"Machinery, equipment and supplies wholesaler-distributors",201195,5.501
2009,"Machinery, equipment and supplies wholesaler-distributors",195310,5.395
2010,"Machinery, equipment and supplies wholesaler-distributors",197540,5.375
2011,"Machinery, equipment and supplies wholesaler-distributors",200235,5.438
2012,"Machinery, equipment and supplies wholesaler-distributors",205465,5.43
2013,"Machinery, equipment and supplies wholesaler-distributors",201765,5.438
2014,"Machinery, equipment and supplies wholesaler-distributors",193185,5.43
2015,"Machinery, equipment and supplies wholesaler-distributors",195120,5.425
2016,"Machinery, equipment and supplies wholesaler-distributors",201150,5.416
2017,"Machinery, equipment and supplies wholesaler-distributors",216345,5.408
2018,"Machinery, equipment and supplies wholesaler-distributors",219375,5.471
2019,"Machinery, equipment and supplies wholesaler-distributors",222160,5.375
1997,Miscellaneous wholesaler-distributors,103600,5.499
1998,Miscellaneous wholesaler-distributors,102130,5.425
1999,Miscellaneous wholesaler-distributors,109960,5.386
2000,Miscellaneous wholesaler-distributors,109765,5.392
2001,Miscellaneous wholesaler-distributors,108210,5.444
2002,Miscellaneous wholesaler-distributors,110570,5.389
2003,Miscellaneous wholesaler-distributors,114530,5.282
2004,Miscellaneous wholesaler-distributors,116695,5.444
2005,Miscellaneous wholesaler-distributors,119850,5.29
2006,Miscellaneous wholesaler-distributors,115720,5.375
2007,Miscellaneous wholesaler-distributors,125475,5.301
2008,Miscellaneous wholesaler-distributors,115805,5.277
2009,Miscellaneous wholesaler-distributors,105070,5.189
2010,Miscellaneous wholesaler-distributors,102055,5.151
2011,Miscellaneous wholesaler-distributors,104210,5.219
2012,Miscellaneous wholesaler-distributors,103700,5.203
2013,Miscellaneous wholesaler-distributors,103340,5.173
2014,Miscellaneous wholesaler-distributors,105215,5.23
2015,Miscellaneous wholesaler-distributors,102455,5.241
2016,Miscellaneous wholesaler-distributors,100825,5.288
2017,Miscellaneous wholesaler-distributors,101710,5.208
2018,Miscellaneous wholesaler-distributors,105490,5.23
2019,Miscellaneous wholesaler-distributors,107730,5.14
1997,"Wholesale electronic markets, and agents and brokers",33845,5.362
1998,"Wholesale electronic markets, and agents and brokers",35550,5.326
1999,"Wholesale electronic markets, and agents and brokers",43050,5.301
2000,"Wholesale electronic markets, and agents and brokers",43215,5.329
2001,"Wholesale electronic markets, and agents and brokers",44275,5.208
2002,"Wholesale electronic markets, and agents and brokers",42615,5.173
2003,"Wholesale electronic markets, and agents and brokers",38325,5.162
2004,"Wholesale electronic markets, and agents and brokers",38155,5.203
2005,"Wholesale electronic markets, and agents and brokers",38610,5.26
2006,"Wholesale electronic markets, and agents and brokers",36440,5.26
2007,"Wholesale electronic markets, and agents and brokers",31125,5.326
2008,"Wholesale electronic markets, and agents and brokers",40985,5.238
2009,"Wholesale electronic markets, and agents and brokers",29070,5.104
2010,"Wholesale electronic markets, and agents and brokers",28265,5.107
2011,"Wholesale electronic markets, and agents and brokers",29395,5.093
2012,"Wholesale electronic markets, and agents and brokers",29190,5.099
2013,"Wholesale electronic markets, and agents and brokers",32525,5.123
2014,"Wholesale electronic markets, and agents and brokers",32730,5.107
2015,"Wholesale electronic markets, and agents and brokers",32395,5.118
2016,"Wholesale electronic markets, and agents and brokers",34400,5.118
2017,"Wholesale electronic markets, and agents and brokers",38665,5.06
2018,"Wholesale electronic markets, and agents and brokers",41735,5.121
2019,"Wholesale electronic markets, and agents and brokers",41520,5.052
1997,Motor vehicle and parts dealers,139795,5.663
1998,Motor vehicle and parts dealers,140365,5.63
1999,Motor vehicle and parts dealers,141480,5.584
2000,Motor vehicle and parts dealers,143090,5.592
2001,Motor vehicle and parts dealers,146230,5.625
2002,Motor vehicle and parts dealers,158675,5.496
2003,Motor vehicle and parts dealers,172510,5.526
2004,Motor vehicle and parts dealers,171735,5.504
2005,Motor vehicle and parts dealers,174530,5.501
2006,Motor vehicle and parts dealers,181730,5.389
2007,Motor vehicle and parts dealers,189600,5.458
2008,Motor vehicle and parts dealers,196410,5.348
2009,Motor vehicle and parts dealers,175470,5.326
2010,Motor vehicle and parts dealers,167345,5.373
2011,Motor vehicle and parts dealers,174195,5.288
2012,Motor vehicle and parts dealers,182960,5.342
2013,Motor vehicle and parts dealers,186330,5.301
2014,Motor vehicle and parts dealers,193650,5.29
2015,Motor vehicle and parts dealers,200185,5.318
2016,Motor vehicle and parts dealers,214915,5.323
2017,Motor vehicle and parts dealers,231625,5.178
2018,Motor vehicle and parts dealers,232100,5.225
2019,Motor vehicle and parts dealers,231210,5.23
1997,Furniture and home furnishings stores,60815,4.811
1998,Furniture and home furnishings stores,60585,4.997
1999,Furniture and home furnishings stores,58230,5.077
2000,Furniture and home furnishings stores,57315,5.074
2001,Furniture and home furnishings stores,60170,4.773
2002,Furniture and home furnishings stores,61900,4.91
2003,Furniture and home furnishings stores,69985,4.679
2004,Furniture and home furnishings stores,74635,4.8
2005,Furniture and home furnishings stores,75730,4.663
2006,Furniture and home furnishings stores,75795,4.748
2007,Furniture and home furnishings stores,86740,4.581
2008,Furniture and home furnishings stores,85430,4.666
2009,Furniture and home furnishings stores,81015,4.627
2010,Furniture and home furnishings stores,83365,4.726
2011,Furniture and home furnishings stores,82380,4.416
2012,Furniture and home furnishings stores,83375,4.468
2013,Furniture and home furnishings stores,86390,4.441
2014,Furniture and home furnishings stores,89440,4.389
2015,Furniture and home furnishings stores,88485,4.488
2016,Furniture and home furnishings stores,87890,4.485
2017,Furniture and home furnishings stores,89660,4.386
2018,Furniture and home furnishings stores,86470,4.545
2019,Furniture and home furnishings stores,85935,4.293
1997,Electronics and appliance stores,59125,4.984
1998,Electronics and appliance stores,64865,4.956
1999,Electronics and appliance stores,66335,4.975
2000,Electronics and appliance stores,66900,5.068
2001,Electronics and appliance stores,65535,5.126
2002,Electronics and appliance stores,64975,4.953
2003,Electronics and appliance stores,65520,5.003
2004,Electronics and appliance stores,67080,4.964
2005,Electronics and appliance stores,68370,4.874
2006,Electronics and appliance stores,67760,4.701
2007,Electronics and appliance stores,69435,4.742
2008,Electronics and appliance stores,68700,4.737
2009,Electronics and appliance stores,66530,4.721
2010,Electronics and appliance stores,62340,4.526
2011,Electronics and appliance stores,67480,4.438
2012,Electronics and appliance stores,64595,4.545
2013,Electronics and appliance stores,63405,4.644
2014,Electronics and appliance stores,58340,4.658
2015,Electronics and appliance stores,60010,4.595
2016,Electronics and appliance stores,62890,4.553
2017,Electronics and appliance stores,48180,4.668
2018,Electronics and appliance stores,44515,4.707
2019,Electronics and appliance stores,43500,4.581
1997,Building material and garden equipment and supplies dealers,50950,5.203
1998,Building material and garden equipment and supplies dealers,67575,5.066
1999,Building material and garden equipment and supplies dealers,68510,5.112
2000,Building material and garden equipment and supplies dealers,70825,5.123
2001,Building material and garden equipment and supplies dealers,89845,4.923
2002,Building material and garden equipment and supplies dealers,94095,4.866
2003,Building material and garden equipment and supplies dealers,98730,4.863
2004,Building material and garden equipment and supplies dealers,109300,4.814
2005,Building material and garden equipment and supplies dealers,112510,4.847
2006,Building material and garden equipment and supplies dealers,116600,4.868
2007,Building material and garden equipment and supplies dealers,123170,4.748
2008,Building material and garden equipment and supplies dealers,121810,4.789
2009,Building material and garden equipment and supplies dealers,131785,4.797
2010,Building material and garden equipment and supplies dealers,144365,4.803
2011,Building material and garden equipment and supplies dealers,141045,4.696
2012,Building material and garden equipment and supplies dealers,144880,4.644
2013,Building material and garden equipment and supplies dealers,148730,4.685
2014,Building material and garden equipment and supplies dealers,149050,4.69
2015,Building material and garden equipment and supplies dealers,149460,4.603
2016,Building material and garden equipment and supplies dealers,143510,4.595
2017,Building material and garden equipment and supplies dealers,147355,4.526
2018,Building material and garden equipment and supplies dealers,145440,4.605
2019,Building material and garden equipment and supplies dealers,145800,4.553
1997,Food and beverage stores,388460,4.192
1998,Food and beverage stores,399000,4.186
1999,Food and beverage stores,403040,4.14
2000,Food and beverage stores,404290,4.145
2001,Food and beverage stores,412765,4.153
2002,Food and beverage stores,440470,4.104
2003,Food and beverage stores,453850,4.107
2004,Food and beverage stores,465340,4.104
2005,Food and beverage stores,473810,4.107
2006,Food and beverage stores,477295,4.055
2007,Food and beverage stores,468520,4.025
2008,Food and beverage stores,470180,4.014
2009,Food and beverage stores,520090,3.929
2010,Food and beverage stores,499380,3.942
2011,Food and beverage stores,494685,3.934
2012,Food and beverage stores,493575,3.907
2013,Food and beverage stores,510225,3.956
2014,Food and beverage stores,500350,3.91
2015,Food and beverage stores,495205,3.918
2016,Food and beverage stores,508340,3.978
2017,Food and beverage stores,524270,3.912
2018,Food and beverage stores,519120,3.94
2019,Food and beverage stores,531230,3.904
1997,Health and personal care stores,130445,4.605
1998,Health and personal care stores,129560,4.49
1999,Health and personal care stores,125780,4.405
2000,Health and personal care stores,129055,4.381
2001,Health and personal care stores,130205,4.255
2002,Health and personal care stores,132120,4.255
2003,Health and personal care stores,139970,4.14
2004,Health and personal care stores,149250,4.107
2005,Health and personal care stores,145190,4.268
2006,Health and personal care stores,144975,4.178
2007,Health and personal care stores,151820,4.195
2008,Health and personal care stores,174705,4.129
2009,Health and personal care stores,168915,4.093
2010,Health and personal care stores,169295,4.074
2011,Health and personal care stores,174405,3.995
2012,Health and personal care stores,194705,4
2013,Health and personal care stores,195445,4.121
2014,Health and personal care stores,191800,4.055
2015,Health and personal care stores,198930,4.175
2016,Health and personal care stores,203910,4.052
2017,Health and personal care stores,216175,4.008
2018,Health and personal care stores,216410,4.019
2019,Health and personal care stores,220610,3.912
1997,Gasoline stations,72740,4.827
1998,Gasoline stations,72185,4.718
1999,Gasoline stations,72840,4.534
2000,Gasoline stations,70895,4.542
2001,Gasoline stations,73310,4.479
2002,Gasoline stations,76920,4.46
2003,Gasoline stations,78670,4.367
2004,Gasoline stations,82770,4.345
2005,Gasoline stations,79200,4.403
2006,Gasoline stations,80625,4.447
2007,Gasoline stations,71920,4.364
2008,Gasoline stations,85550,4.214
2009,Gasoline stations,68605,4.326
2010,Gasoline stations,66460,4.482
2011,Gasoline stations,69510,4.266
2012,Gasoline stations,76425,4.244
2013,Gasoline stations,74330,4.384
2014,Gasoline stations,75115,4.345
2015,Gasoline stations,77720,4.101
2016,Gasoline stations,81970,4.195
2017,Gasoline stations,81810,4.326
2018,Gasoline stations,78165,4.326
2019,Gasoline stations,74885,4.373
1997,Clothing and clothing accessories stores,168415,4.129
1998,Clothing and clothing accessories stores,168900,4.167
1999,Clothing and clothing accessories stores,173795,4.06
2000,Clothing and clothing accessories stores,174310,3.97
2001,Clothing and clothing accessories stores,175100,3.973
2002,Clothing and clothing accessories stores,188635,3.866
2003,Clothing and clothing accessories stores,189335,3.838
2004,Clothing and clothing accessories stores,193620,3.899
2005,Clothing and clothing accessories stores,198070,3.814
2006,Clothing and clothing accessories stores,201000,3.874
2007,Clothing and clothing accessories stores,217320,3.764
2008,Clothing and clothing accessories stores,207635,3.745
2009,Clothing and clothing accessories stores,221550,3.575
2010,Clothing and clothing accessories stores,245960,3.521
2011,Clothing and clothing accessories stores,243950,3.573
2012,Clothing and clothing accessories stores,248375,3.542
2013,Clothing and clothing accessories stores,252140,3.496
2014,Clothing and clothing accessories stores,250745,3.521
2015,Clothing and clothing accessories stores,255565,3.51
2016,Clothing and clothing accessories stores,251635,3.627
2017,Clothing and clothing accessories stores,249705,3.575
2018,Clothing and clothing accessories stores,252855,3.529
2019,Clothing and clothing accessories stores,259560,3.556
1997,"Sporting goods, hobby, book and music stores",88620,4.463
1998,"Sporting goods, hobby, book and music stores",90070,4.425
1999,"Sporting goods, hobby, book and music stores",96615,4.164
2000,"Sporting goods, hobby, book and music stores",90895,4.353
2001,"Sporting goods, hobby, book and music stores",93605,4.167
2002,"Sporting goods, hobby, book and music stores",95565,4.068
2003,"Sporting goods, hobby, book and music stores",96475,4.063
2004,"Sporting goods, hobby, book and music stores",101405,4.036
2005,"Sporting goods, hobby, book and music stores",100455,4.044
2006,"Sporting goods, hobby, book and music stores",101995,4.022
2007,"Sporting goods, hobby, book and music stores",107780,3.918
2008,"Sporting goods, hobby, book and music stores",99730,3.956
2009,"Sporting goods, hobby, book and music stores",92910,3.795
2010,"Sporting goods, hobby, book and music stores",88000,3.838
2011,"Sporting goods, hobby, book and music stores",82050,3.962
2012,"Sporting goods, hobby, book and music stores",81230,3.841
2013,"Sporting goods, hobby, book and music stores",80510,3.866
2014,"Sporting goods, hobby, book and music stores",78860,3.858
2015,"Sporting goods, hobby, book and music stores",80920,3.77
2016,"Sporting goods, hobby, book and music stores",84210,3.773
2017,"Sporting goods, hobby, book and music stores",82110,3.855
2018,"Sporting goods, hobby, book and music stores",81245,3.836
2019,"Sporting goods, hobby, book and music stores",79055,3.775
1997,General merchandise stores,219770,4.055
1998,General merchandise stores,231350,4.099
1999,General merchandise stores,232815,4.063
2000,General merchandise stores,231630,4.088
2001,General merchandise stores,226735,4.09
2002,General merchandise stores,233690,4.104
2003,General merchandise stores,254880,3.915
2004,General merchandise stores,255620,4.044
2005,General merchandise stores,257790,4.016
2006,General merchandise stores,257485,4.033
2007,General merchandise stores,262625,4.025
2008,General merchandise stores,256470,4.079
2009,General merchandise stores,259640,3.986
2010,General merchandise stores,275485,3.984
2011,General merchandise stores,280110,3.97
2012,General merchandise stores,260315,3.992
2013,General merchandise stores,261850,3.929
2014,General merchandise stores,265500,3.91
2015,General merchandise stores,241065,4.055
2016,General merchandise stores,235490,4.055
2017,General merchandise stores,227310,4.104
2018,General merchandise stores,225715,4.06
2019,General merchandise stores,227215,4.03
1997,Miscellaneous store retailers,81155,4.69
1998,Miscellaneous store retailers,83975,4.745
